Name,Status,ID,Priority,Epic,Labels
CLT-003 — Scaffold Flutter mobile app (iOS + Android),Done,CLT-003,P1,Clients,"mobile,clients,flutter"
CLT-004 — Fix Android physical device API connectivity,Done,CLT-004,P1,Clients,"mobile,bugfix"
CLT-005 — Mobile debug logging (add then remove UI),Done,CLT-005,P2,Clients,"mobile,dev"
CLT-006 — Rippling-style marketing landing page,Done,CLT-006,P1,Clients,"web,ux,rippling"
CLT-007 — Beautify admin and onboarding login pages,Done,CLT-007,P2,Clients,"web,ux"
CLT-008 — Rippling UX patterns on onboarding checklist,Done,CLT-008,P2,Clients,"web,mobile,ux,rippling"
CLT-009 — Local landing URL resolution (avoid live redirect),Done,CLT-009,P1,Clients,"web,bugfix"
CLT-010 — SPA routing and security headers on Pages,Done,CLT-010,P2,Clients,"web,infra"
CLT-011 — OpenAPI Swagger documentation,Done,CLT-011,P2,Clients,"api,docs"
CLT-012 — CORS origins for Cloudflare Pages and localhost,Done,CLT-012,P1,Clients,"api,infra"
CLT-013 — Vite env: VITE_API_BASE_URL (not VITE_API_URL),Done,CLT-013,P1,Clients,"web,infra"
CLT-014 — GitHub Actions Pages deploy workflow,Done,CLT-014,P1,Clients,"infra,ci,web"
CLT-015 — Flutter admin case detail with document view-delete,Done,CLT-015,P1,Clients,mobile
CLT-016 — Emapta interview demo research (top HRIS apps),Done,CLT-016,P3,Clients,"ux,docs"
CLT-017 — Manager role read paths,Done,CLT-017,P2,Clients,"api,web"
CLT-018 — Login flash fix on onboarding.getlakbay.com,Done,CLT-018,P2,Clients,"web,bugfix,ux"
INF-001 — Cloudflare zone setup for getlakbay.com,Done,INF-001,P0,Infra / Deploy,"infra,cloudflare,dns"
INF-002 — Cloudflare Pages: hris-admin project,Done,INF-002,P0,Infra / Deploy,"infra,cloudflare,web"
INF-003 — Cloudflare Pages: hris-onboarding project,Done,INF-003,P0,Infra / Deploy,"infra,cloudflare,web"
INF-004 — Cloudflare Pages: hris-landing project,Done,INF-004,P1,Infra / Deploy,"infra,cloudflare,web"
INF-005 — Cloudflare Tunnel for api.getlakbay.com,Done,INF-005,P0,Infra / Deploy,"infra,cloudflare,api"
INF-006 — Resolve macOS DNS curl vs dig mismatch for api host,Done,INF-006,P2,Infra / Deploy,"infra,bugfix"
INF-007 — AWS IAM user and CLI setup for lab account,Done,INF-007,P1,Infra / Deploy,"infra,aws"
INF-008 — Terraform - OpenTofu install guidance,Done,INF-008,P2,Infra / Deploy,"infra,terraform"
"INF-009 — GitHub Actions CI (lint, unit, Playwright)",Done,INF-009,P2,Infra / Deploy,"infra,ci"
INF-010 — Nest Dockerfile for container deploy path,Done,INF-010,P3,Infra / Deploy,"infra,api"
INF-011 — Cognito Hosted UI domain (managed prefix),Done,INF-011,P1,Infra / Deploy,"infra,aws,cognito"
INF-012 — S3 bucket IAM permission fix (403 on CreateBucket),Done,INF-012,P1,Infra / Deploy,"infra,aws,bugfix"
INF-013 — Lab runtime checklist (tunnel + API + optional Vite),Done,INF-013,P2,Infra / Deploy,"infra,docs"
INF-014 — Cloudflare Pages env rebuild for OIDC vars,Done,INF-014,P1,Infra / Deploy,"infra,cloudflare,auth"
INF-015 — wrangler.toml per Pages app,Done,INF-015,P2,Infra / Deploy,"infra,cloudflare"
INF-016 — Keycloak realm import on Compose up,Done,INF-016,P1,Infra / Deploy,"infra,keycloak"
BUG-001 — Adminer port 8080 already allocated,Done,BUG-001,P2,Bugfixes,"bugfix,infra"
BUG-002 — prisma:seed ts-node JSON parse error (zsh),Done,BUG-002,P2,Bugfixes,"bugfix,database"
BUG-003 — API 500 Internal Server Error on web requests,Done,BUG-003,P0,Bugfixes,"bugfix,api"
BUG-004 — GitHub secret scan: JWT in Flutter test fixture,Done,BUG-004,P1,Bugfixes,"bugfix,security,mobile"
"BUG-005 — Prod sign-out ""Invalid request"" (Cognito logout)",Done,BUG-005,P1,Bugfixes,"bugfix,auth"
BUG-006 — Local sign-out redirecting to live admin URL,Done,BUG-006,P1,Bugfixes,"bugfix,web"
"BUG-007 — cloudflared ""connection refused"" to localhost:3000",Done,BUG-007,P1,Bugfixes,"bugfix,infra"
BUG-008 — Intermittent HTTP 403 on Pages (admin-onboarding),Done,BUG-008,P1,Bugfixes,"bugfix,infra,cloudflare"
BUG-009 — Keycloak IdP login failed (400) on localhost,Done,BUG-009,P1,Bugfixes,"bugfix,auth,keycloak"
BUG-010 — 401 Invalid access token (API),Done,BUG-010,P0,Bugfixes,"bugfix,auth,api"
BUG-011 — Mobile prod 401 and OIDC bad state (employee),Done,BUG-011,P0,Bugfixes,"bugfix,mobile,auth"
BUG-012 — Android emulator default 10.0.2.2 ignored,Done,BUG-012,P2,Bugfixes,"bugfix,mobile"
BUG-013 — VITE_OIDC missing after browser hard reset,Done,BUG-013,P2,Bugfixes,"bugfix,web"
BUG-014 — Cloudflare landing deploy wrong root directory,Done,BUG-014,P2,Bugfixes,"bugfix,infra"
BUG-015 — S3 CreateBucket 403 during terraform apply,Done,BUG-015,P1,Bugfixes,"bugfix,aws,terraform"
DOCUM-001 — AS_BUILT.md with demo script and lab URLs,Done,DOCUM-001,P1,Documentation,docs
DOCUM-002 — AWS_AND_IAM.md (Cognito + S3 lab path),Done,DOCUM-002,P1,Documentation,"docs,aws"
DOCUM-003 — PRODUCTION_CLOUDFLARE.md (getlakbay.com),Done,DOCUM-003,P1,Documentation,"docs,cloudflare"
DOCUM-004 — README comprehensive update (all lab features),Done,DOCUM-004,P1,Documentation,docs
DOCUM-005 — Correct GCP → AWS primary cloud narrative,Done,DOCUM-005,P1,Documentation,docs
DOCUM-006 — STACK_DECISIONS and architecture design pack copy,Done,DOCUM-006,P2,Documentation,docs
